,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,score_dff (home-away),team_away,team_favorite_id,favor_direction,favor_score_diff,spread_favorite,win_loss,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
10869,9/29/2013,2013,4,FALSE,TB,10,13,-3,ARI,TB,Home,3,-2.5,FALSE,40,Raymond James Stadium,FALSE,84,7,55,
10870,9/29/2013,2013,4,FALSE,TEN,38,13,25,NYJ,TEN,Home,-25,-3.5,TRUE,40.5,Nissan Stadium,FALSE,74,4,51,rain
10871,9/30/2013,2013,4,FALSE,NO,38,17,21,MIA,NO,Home,-21,-7.5,TRUE,49,Louisiana Superdome,FALSE,72,0,,indoor
10872,10/3/2013,2013,5,FALSE,CLE,37,24,13,BUF,CLE,Home,-13,-4,TRUE,41,FirstEnergy Stadium,FALSE,75,8,73,rain
10873,10/6/2013,2013,5,FALSE,ARI,22,6,16,CAR,CAR,Away,16,-3,FALSE,42.5,University of Phoenix Stadium,FALSE,72,0,,indoor
10874,10/6/2013,2013,5,FALSE,CHI,18,26,-8,NO,NO,Away,-8,-1.5,TRUE,51.5,Soldier Field,FALSE,61,12,49,
10875,10/6/2013,2013,5,FALSE,CIN,13,6,7,NE,NE,Away,7,-1,FALSE,45.5,Paul Brown Stadium,FALSE,74,7,93,
10876,10/6/2013,2013,5,FALSE,DAL,48,51,-3,DEN,DEN,Away,-3,-9,FALSE,57.5,Cowboys Stadium,FALSE,72,0,,indoor
10877,10/6/2013,2013,5,FALSE,GB,22,9,13,DET,GB,Home,-13,-9.5,TRUE,55,Lambeau Field,FALSE,61,12,59,
10878,10/6/2013,2013,5,FALSE,IND,34,28,6,SEA,SEA,Away,6,-3,FALSE,44,Lucas Oil Stadium,FALSE,72,0,,indoor
10879,10/6/2013,2013,5,FALSE,MIA,23,26,-3,BAL,MIA,Home,3,-2.5,FALSE,43,Sun Life Stadium,FALSE,87,6,56,
10880,10/6/2013,2013,5,FALSE,NYG,21,36,-15,PHI,NYG,Home,15,-1.5,FALSE,54,MetLife Stadium,FALSE,69,9,100,fog
10881,10/6/2013,2013,5,FALSE,LVR,27,17,10,LAC,LAC,Away,10,-5,FALSE,47,Oakland Coliseum,FALSE,70,2,,
10882,10/6/2013,2013,5,FALSE,SF,34,3,31,HOU,SF,Home,-31,-4.5,TRUE,44,Candlestick Park,FALSE,76,9,40,
10883,10/6/2013,2013,5,FALSE,LAR,34,20,14,JAX,LAR,Home,-14,-11,TRUE,41,Edward Jones Dome,FALSE,72,0,,indoor
10884,10/6/2013,2013,5,FALSE,TEN,17,26,-9,KC,KC,Away,-9,-3,TRUE,38.5,Nissan Stadium,FALSE,74,6,83,rain
10885,10/7/2013,2013,5,FALSE,ATL,28,30,-2,NYJ,ATL,Home,2,-10.5,FALSE,45,Georgia Dome,FALSE,72,0,,indoor
10886,10/10/2013,2013,6,FALSE,CHI,27,21,6,NYG,CHI,Home,-6,-8.5,FALSE,48,Soldier Field,FALSE,63,6,74,
10887,10/13/2013,2013,6,FALSE,BAL,17,19,-2,GB,GB,Away,-2,-2,FALSE,48,M&T Bank Stadium,FALSE,68,10,83,rain
10888,10/13/2013,2013,6,FALSE,BUF,24,27,-3,CIN,CIN,Away,-3,-6,FALSE,41,Ralph Wilson Stadium,FALSE,68,5,70,
10889,10/13/2013,2013,6,FALSE,CLE,17,31,-14,DET,DET,Away,-14,-2.5,TRUE,43.5,FirstEnergy Stadium,FALSE,67,8,78,
10890,10/13/2013,2013,6,FALSE,DAL,31,16,15,WAS,DAL,Home,-15,-5.5,TRUE,51.5,Cowboys Stadium,FALSE,72,0,,indoor
10891,10/13/2013,2013,6,FALSE,DEN,35,19,16,JAX,DEN,Home,-16,-26.5,FALSE,52,Sports Authority Field at Mile High,FALSE,59,7,53,
10892,10/13/2013,2013,6,FALSE,HOU,13,38,-25,LAR,HOU,Home,25,-9,FALSE,42.5,Reliant Stadium,FALSE,76,5,94,retractable (open roof)
10893,10/13/2013,2013,6,FALSE,KC,24,7,17,LVR,KC,Home,-17,-7.5,TRUE,41.5,Arrowhead Stadium,FALSE,70,7,41,
10894,10/13/2013,2013,6,FALSE,MIN,10,35,-25,CAR,MIN,Home,25,-2.5,FALSE,44.5,Mall of America Field,FALSE,72,0,,indoor
10895,10/13/2013,2013,6,FALSE,NE,30,27,3,NO,NE,Home,-3,-2.5,TRUE,50,Gillette Stadium,FALSE,59,7,57,
10896,10/13/2013,2013,6,FALSE,NYJ,6,19,-13,PIT,PIT,Away,-13,-1.5,TRUE,41,MetLife Stadium,FALSE,65,10,68,
10897,10/13/2013,2013,6,FALSE,SF,32,20,12,ARI,SF,Home,-12,-10.5,TRUE,41,Candlestick Park,FALSE,67,5,55,
10898,10/13/2013,2013,6,FALSE,SEA,20,13,7,TEN,SEA,Home,-7,-11.5,FALSE,41.5,CenturyLink Field,FALSE,57,4,80,
10899,10/13/2013,2013,6,FALSE,TB,20,31,-11,PHI,PHI,Away,-11,-3,TRUE,44,Raymond James Stadium,FALSE,84,4,42,
10900,10/14/2013,2013,6,FALSE,LAC,19,9,10,IND,PICK,?,FALSE,0,FALSE,50.5,Qualcomm Stadium,FALSE,69,3,69,
10901,10/17/2013,2013,7,FALSE,ARI,22,34,-12,SEA,SEA,Away,-12,-4.5,TRUE,41.5,University of Phoenix Stadium,FALSE,72,0,,indoor
10902,10/20/2013,2013,7,FALSE,ATL,31,23,8,TB,ATL,Home,-8,-6.5,TRUE,43,Georgia Dome,FALSE,72,0,,indoor
10903,10/20/2013,2013,7,FALSE,CAR,30,15,15,LAR,CAR,Home,-15,-7,TRUE,42,Bank of America Stadium,FALSE,68,4,42,
10904,10/20/2013,2013,7,FALSE,DET,24,27,-3,CIN,DET,Home,3,-1.5,FALSE,46,Ford Field,FALSE,72,0,,indoor
10905,10/20/2013,2013,7,FALSE,GB,31,13,18,CLE,GB,Home,-18,-9.5,TRUE,45,Lambeau Field,FALSE,46,8,65,
10906,10/20/2013,2013,7,FALSE,IND,39,33,6,DEN,DEN,Away,6,-6,FALSE,55.5,Lucas Oil Stadium,FALSE,72,0,,indoor
10907,10/20/2013,2013,7,FALSE,JAX,6,24,-18,LAC,LAC,Away,-18,-7,TRUE,44.5,EverBank Field,FALSE,77,7,,
10908,10/20/2013,2013,7,FALSE,KC,17,16,1,HOU,KC,Home,-1,-6,FALSE,39,Arrowhead Stadium,FALSE,70,15,36,
