,schedule_date,schedule_season,team_home,score_home,score_away,team_away,team_favorite_id,game_winner,home_team_won,spread_favorite,over_under_line,stadium,stadium_type,weather_temperature(°F),weather_wind_mph,weather_humidity(%)
59,9/29/2013,2013,LAC,30,21,DAL,DAL,LAC,1,-1.5,48.0,Qualcomm Stadium,Outdoor,80.0,7.0,27.0
60,9/29/2013,2013,TB,10,13,ARI,TB,ARI,0,-2.5,40.0,Raymond James Stadium,Outdoor,84.0,7.0,55.0
61,9/29/2013,2013,TEN,38,13,NYJ,TEN,TEN,1,-3.5,40.5,Nissan Stadium,Outdoor,74.0,4.0,51.0
62,9/30/2013,2013,NO,38,17,MIA,NO,NO,1,-7.5,49.0,Louisiana Superdome,Indoor,72.0,0.0,
63,10/3/2013,2013,CLE,37,24,BUF,CLE,CLE,1,-4.0,41.0,FirstEnergy Stadium,Outdoor,75.0,8.0,73.0
64,10/6/2013,2013,ARI,22,6,CAR,CAR,ARI,1,-3.0,42.5,University of Phoenix Stadium,Indoor,72.0,0.0,
65,10/6/2013,2013,CHI,18,26,NO,NO,NO,0,-1.5,51.5,Soldier Field,Outdoor,61.0,12.0,49.0
66,10/6/2013,2013,CIN,13,6,NE,NE,CIN,1,-1.0,45.5,Paul Brown Stadium,Outdoor,74.0,7.0,93.0
67,10/6/2013,2013,DAL,48,51,DEN,DEN,DEN,0,-9.0,57.5,Cowboys Stadium,Outdoor,72.0,0.0,
68,10/6/2013,2013,GB,22,9,DET,GB,GB,1,-9.5,55.0,Lambeau Field,Outdoor,61.0,12.0,59.0
69,10/6/2013,2013,IND,34,28,SEA,SEA,IND,1,-3.0,44.0,Lucas Oil Stadium,Indoor,72.0,0.0,
70,10/6/2013,2013,MIA,23,26,BAL,MIA,BAL,0,-2.5,43.0,Sun Life Stadium,Outdoor,87.0,6.0,56.0
71,10/6/2013,2013,NYG,21,36,PHI,NYG,PHI,0,-1.5,54.0,MetLife Stadium,Outdoor,69.0,9.0,100.0
72,10/6/2013,2013,LVR,27,17,LAC,LAC,LVR,1,-5.0,47.0,Oakland Coliseum,Outdoor,70.0,2.0,
73,10/6/2013,2013,SF,34,3,HOU,SF,SF,1,-4.5,44.0,Candlestick Park,Outdoor,76.0,9.0,40.0
74,10/6/2013,2013,LAR,34,20,JAX,LAR,LAR,1,-11.0,41.0,Edward Jones Dome,Indoor,72.0,0.0,
75,10/6/2013,2013,TEN,17,26,KC,KC,KC,0,-3.0,38.5,Nissan Stadium,Outdoor,74.0,6.0,83.0
76,10/7/2013,2013,ATL,28,30,NYJ,ATL,NYJ,0,-10.5,45.0,Georgia Dome,Indoor,72.0,0.0,
77,10/10/2013,2013,CHI,27,21,NYG,CHI,CHI,1,-8.5,48.0,Soldier Field,Outdoor,63.0,6.0,74.0
78,10/13/2013,2013,BAL,17,19,GB,GB,GB,0,-2.0,48.0,M&T Bank Stadium,Outdoor,68.0,10.0,83.0
79,10/13/2013,2013,BUF,24,27,CIN,CIN,CIN,0,-6.0,41.0,Ralph Wilson Stadium,Outdoor,68.0,5.0,70.0
80,10/13/2013,2013,CLE,17,31,DET,DET,DET,0,-2.5,43.5,FirstEnergy Stadium,Outdoor,67.0,8.0,78.0
81,10/13/2013,2013,DAL,31,16,WAS,DAL,DAL,1,-5.5,51.5,Cowboys Stadium,Outdoor,72.0,0.0,
82,10/13/2013,2013,DEN,35,19,JAX,DEN,DEN,1,-26.5,52.0,Sports Authority Field at Mile High,Outdoor,59.0,7.0,53.0
83,10/13/2013,2013,HOU,13,38,LAR,HOU,LAR,0,-9.0,42.5,Reliant Stadium,Indoor,76.0,5.0,94.0
84,10/13/2013,2013,KC,24,7,LVR,KC,KC,1,-7.5,41.5,Arrowhead Stadium,Outdoor,70.0,7.0,41.0
85,10/13/2013,2013,MIN,10,35,CAR,MIN,CAR,0,-2.5,44.5,Mall of America Field,Indoor,72.0,0.0,
86,10/13/2013,2013,NE,30,27,NO,NE,NE,1,-2.5,50.0,Gillette Stadium,Outdoor,59.0,7.0,57.0
87,10/13/2013,2013,NYJ,6,19,PIT,PIT,PIT,0,-1.5,41.0,MetLife Stadium,Outdoor,65.0,10.0,68.0
88,10/13/2013,2013,SF,32,20,ARI,SF,SF,1,-10.5,41.0,Candlestick Park,Outdoor,67.0,5.0,55.0
89,10/13/2013,2013,SEA,20,13,TEN,SEA,SEA,1,-11.5,41.5,CenturyLink Field,Outdoor,57.0,4.0,80.0
90,10/13/2013,2013,TB,20,31,PHI,PHI,PHI,0,-3.0,44.0,Raymond James Stadium,Outdoor,84.0,4.0,42.0
91,10/14/2013,2013,LAC,19,9,IND,PICK,LAC,1,0.0,50.5,Qualcomm Stadium,Outdoor,69.0,3.0,69.0
92,10/17/2013,2013,ARI,22,34,SEA,SEA,SEA,0,-4.5,41.5,University of Phoenix Stadium,Indoor,72.0,0.0,
93,10/20/2013,2013,ATL,31,23,TB,ATL,ATL,1,-6.5,43.0,Georgia Dome,Indoor,72.0,0.0,
94,10/20/2013,2013,CAR,30,15,LAR,CAR,CAR,1,-7.0,42.0,Bank of America Stadium,Outdoor,68.0,4.0,42.0
95,10/20/2013,2013,DET,24,27,CIN,DET,CIN,0,-1.5,46.0,Ford Field,Indoor,72.0,0.0,
96,10/20/2013,2013,GB,31,13,CLE,GB,GB,1,-9.5,45.0,Lambeau Field,Outdoor,46.0,8.0,65.0
97,10/20/2013,2013,IND,39,33,DEN,DEN,IND,1,-6.0,55.5,Lucas Oil Stadium,Indoor,72.0,0.0,
98,10/20/2013,2013,JAX,6,24,LAC,LAC,LAC,0,-7.0,44.5,EverBank Field,Outdoor,77.0,7.0,
99,10/20/2013,2013,KC,17,16,HOU,KC,KC,1,-6.0,39.0,Arrowhead Stadium,Outdoor,70.0,15.0,36.0
100,10/20/2013,2013,MIA,21,23,BUF,MIA,BUF,0,-6.5,44.5,Sun Life Stadium,Outdoor,87.0,5.0,57.0
101,10/20/2013,2013,NYJ,30,27,NE,NE,NYJ,1,-3.0,43.0,MetLife Stadium,Outdoor,65.0,12.0,36.0
102,10/20/2013,2013,PHI,3,17,DAL,PHI,DAL,0,-2.5,55.0,Lincoln Financial Field,Outdoor,62.0,13.0,39.0
103,10/20/2013,2013,PIT,19,16,BAL,PIT,PIT,1,-2.5,41.0,Heinz Field,Outdoor,57.0,7.0,49.0
104,10/20/2013,2013,TEN,17,31,SF,SF,SF,0,-3.0,40.5,Nissan Stadium,Outdoor,68.0,4.0,32.0
105,10/20/2013,2013,WAS,45,41,CHI,CHI,WAS,1,-1.0,48.0,FedEx Field,Outdoor,62.0,8.0,39.0
106,10/21/2013,2013,NYG,23,7,MIN,NYG,NYG,1,-3.5,47.0,MetLife Stadium,Outdoor,57.0,7.0,63.0
107,10/24/2013,2013,TB,13,31,CAR,CAR,CAR,0,-6.5,38.5,Raymond James Stadium,Outdoor,70.0,5.0,53.0
108,10/27/2013,2013,ARI,27,13,ATL,ARI,ARI,1,-3.0,46.5,University of Phoenix Stadium,Indoor,72.0,0.0,
109,10/27/2013,2013,CIN,49,9,NYJ,CIN,CIN,1,-4.5,41.5,Paul Brown Stadium,Outdoor,57.0,3.0,45.0
110,10/27/2013,2013,DEN,45,21,WAS,DEN,DEN,1,-11.0,58.0,Sports Authority Field at Mile High,Outdoor,69.0,8.0,14.0
111,10/27/2013,2013,DET,31,30,DAL,DET,DET,1,-3.0,50.5,Ford Field,Indoor,72.0,0.0,
112,10/27/2013,2013,JAX,10,42,SF,SF,SF,0,-14.5,40.0,Wembley Stadium,Outdoor,73.0,13.0,63.0
113,10/27/2013,2013,KC,23,17,CLE,KC,KC,1,-7.0,39.0,Arrowhead Stadium,Outdoor,61.0,9.0,46.0
114,10/27/2013,2013,MIN,31,44,GB,GB,GB,0,-7.5,47.0,Mall of America Field,Indoor,72.0,0.0,
115,10/27/2013,2013,NE,27,17,MIA,NE,NE,1,-5.5,45.0,Gillette Stadium,Outdoor,53.0,14.0,45.0
116,10/27/2013,2013,NO,35,17,BUF,NO,NO,1,-10.5,48.0,Louisiana Superdome,Indoor,72.0,0.0,
117,10/27/2013,2013,LVR,21,18,PIT,PIT,LVR,1,-2.5,40.5,Oakland Coliseum,Outdoor,59.0,17.0,81.0
118,10/27/2013,2013,PHI,7,15,NYG,PHI,NYG,0,-5.5,49.5,Lincoln Financial Field,Outdoor,58.0,13.0,40.0
119,10/28/2013,2013,LAR,9,14,SEA,SEA,SEA,0,-13.0,43.5,Edward Jones Dome,Indoor,72.0,0.0,
120,10/31/2013,2013,MIA,22,20,CIN,CIN,MIA,1,-3.0,42.0,Sun Life Stadium,Outdoor,79.0,8.0,76.0
121,11/3/2013,2013,BUF,13,23,KC,KC,KC,0,-4.5,41.0,Ralph Wilson Stadium,Outdoor,38.0,7.0,58.0
122,11/3/2013,2013,CAR,34,10,ATL,CAR,CAR,1,-8.0,47.0,Bank of America Stadium,Outdoor,62.0,12.0,41.0
123,11/3/2013,2013,CLE,24,18,BAL,BAL,CLE,1,-1.0,42.0,FirstEnergy Stadium,Outdoor,46.0,9.0,54.0
124,11/3/2013,2013,DAL,27,23,MIN,DAL,DAL,1,-8.5,50.5,Cowboys Stadium,Outdoor,72.0,0.0,
125,11/3/2013,2013,HOU,24,27,IND,IND,IND,0,-1.0,44.0,Reliant Stadium,Indoor,60.0,8.0,78.0
126,11/3/2013,2013,NE,55,31,PIT,NE,NE,1,-5.5,43.0,Gillette Stadium,Outdoor,44.0,6.0,44.0
127,11/3/2013,2013,NYJ,26,20,NO,NO,NYJ,1,-5.5,46.0,MetLife Stadium,Outdoor,53.0,8.0,53.0
128,11/3/2013,2013,LVR,20,49,PHI,LVR,PHI,0,-1.0,45.5,Oakland Coliseum,Outdoor,62.0,6.0,30.0
129,11/3/2013,2013,SEA,27,24,TB,SEA,SEA,1,-14.5,40.5,CenturyLink Field,Outdoor,52.0,4.0,68.0
130,11/3/2013,2013,LAR,21,28,TEN,TEN,TEN,0,-3.0,40.5,Edward Jones Dome,Indoor,72.0,0.0,
131,11/3/2013,2013,WAS,30,24,LAC,PICK,WAS,1,0.0,48.5,FedEx Field,Outdoor,57.0,20.0,41.0
132,11/4/2013,2013,GB,20,27,CHI,GB,CHI,0,-9.5,50.5,Lambeau Field,Outdoor,49.0,6.0,77.0
133,11/7/2013,2013,MIN,34,27,WAS,WAS,MIN,1,-1.0,48.0,Mall of America Field,Indoor,72.0,0.0,
134,11/10/2013,2013,ARI,27,24,HOU,ARI,ARI,1,-3.5,42.0,University of Phoenix Stadium,Indoor,72.0,0.0,
135,11/10/2013,2013,ATL,10,33,SEA,SEA,SEA,0,-3.0,47.0,Georgia Dome,Indoor,72.0,0.0,
136,11/10/2013,2013,BAL,20,17,CIN,BAL,BAL,1,-2.0,43.5,M&T Bank Stadium,Outdoor,62.0,17.0,36.0
137,11/10/2013,2013,CHI,19,21,DET,DET,DET,0,-1.5,52.0,Soldier Field,Outdoor,47.0,6.0,51.0
138,11/10/2013,2013,GB,13,27,PHI,PHI,PHI,0,-1.0,47.0,Lambeau Field,Outdoor,46.0,9.0,48.0
139,11/10/2013,2013,IND,8,38,LAR,IND,LAR,0,-7.0,43.0,Lucas Oil Stadium,Indoor,72.0,0.0,
140,11/10/2013,2013,NO,49,17,DAL,NO,NO,1,-5.5,53.5,Louisiana Superdome,Indoor,72.0,0.0,
141,11/10/2013,2013,NYG,24,20,LVR,NYG,NYG,1,-7.0,41.0,MetLife Stadium,Outdoor,53.0,14.0,71.0
142,11/10/2013,2013,PIT,23,10,BUF,PIT,PIT,1,-2.5,43.0,Heinz Field,Outdoor,46.0,21.0,56.0
143,11/10/2013,2013,LAC,20,28,DEN,DEN,DEN,0,-7.0,57.0,Qualcomm Stadium,Outdoor,78.0,6.0,14.0
144,11/10/2013,2013,SF,9,10,CAR,SF,CAR,0,-5.5,42.5,Candlestick Park,Outdoor,62.0,6.0,65.0
145,11/10/2013,2013,TEN,27,29,JAX,TEN,JAX,0,-11.5,42.0,Nissan Stadium,Outdoor,65.0,6.0,40.0
146,11/11/2013,2013,TB,22,19,MIA,MIA,TB,1,-2.5,39.5,Raymond James Stadium,Outdoor,73.0,5.0,74.0
147,11/14/2013,2013,TEN,27,30,IND,IND,IND,0,-3.0,42.0,Nissan Stadium,Outdoor,44.0,5.0,36.0
148,11/17/2013,2013,BUF,37,14,NYJ,NYJ,BUF,1,-2.0,39.5,Ralph Wilson Stadium,Outdoor,62.0,17.0,71.0
149,11/17/2013,2013,CHI,23,20,BAL,CHI,CHI,1,-3.5,41.0,Soldier Field,Outdoor,68.0,24.0,82.0
150,11/17/2013,2013,CIN,41,20,CLE,CIN,CIN,1,-4.5,40.0,Paul Brown Stadium,Outdoor,64.0,7.0,92.0
151,11/17/2013,2013,DEN,27,17,KC,DEN,DEN,1,-7.5,49.0,Sports Authority Field at Mile High,Outdoor,43.0,6.0,34.0
152,11/17/2013,2013,HOU,23,28,LVR,HOU,LVR,0,-10.5,40.5,Reliant Stadium,Indoor,85.0,3.0,75.0
153,11/17/2013,2013,JAX,14,27,ARI,ARI,ARI,0,-9.0,40.5,EverBank Field,Outdoor,79.0,8.0,
154,11/17/2013,2013,MIA,20,16,LAC,LAC,MIA,1,-3.0,44.5,Sun Life Stadium,Outdoor,81.0,8.0,67.0
155,11/17/2013,2013,NO,23,20,SF,NO,NO,1,-3.5,49.5,Louisiana Superdome,Indoor,72.0,0.0,
156,11/17/2013,2013,NYG,27,13,GB,NYG,NYG,1,-3.0,40.5,MetLife Stadium,Outdoor,61.0,2.0,100.0
157,11/17/2013,2013,PHI,24,16,WAS,PHI,PHI,1,-4.0,54.0,Lincoln Financial Field,Outdoor,67.0,7.0,71.0
158,11/17/2013,2013,PIT,37,27,DET,DET,PIT,1,-3.0,45.0,Heinz Field,Outdoor,60.0,12.0,87.0
159,11/17/2013,2013,SEA,41,20,MIN,SEA,SEA,1,-13.0,45.0,CenturyLink Field,Outdoor,50.0,5.0,81.0
160,11/17/2013,2013,TB,41,28,ATL,TB,TB,1,-2.0,43.5,Raymond James Stadium,Outdoor,79.0,6.0,74.0
161,11/18/2013,2013,CAR,24,20,NE,CAR,CAR,1,-3.0,45.5,Bank of America Stadium,Outdoor,59.0,8.0,35.0
162,11/21/2013,2013,ATL,13,17,NO,NO,NO,0,-7.0,52.5,Georgia Dome,Indoor,72.0,0.0,
163,11/24/2013,2013,ARI,40,11,IND,ARI,ARI,1,-3.0,44.5,University of Phoenix Stadium,Indoor,72.0,0.0,
164,11/24/2013,2013,BAL,19,3,NYJ,BAL,BAL,1,-3.5,38.5,M&T Bank Stadium,Outdoor,34.0,26.0,23.0
165,11/24/2013,2013,CLE,11,27,PIT,CLE,PIT,0,-2.0,39.0,FirstEnergy Stadium,Outdoor,33.0,31.0,84.0
166,11/24/2013,2013,DET,21,24,TB,DET,TB,0,-7.0,48.0,Ford Field,Indoor,72.0,0.0,
167,11/24/2013,2013,GB,26,26,MIN,GB,MIN,0,-5.5,44.5,Lambeau Field,Outdoor,20.0,10.0,52.0
168,11/24/2013,2013,HOU,6,13,JAX,HOU,JAX,0,-10.0,43.5,Reliant Stadium,Indoor,50.0,9.0,55.0
169,11/24/2013,2013,KC,38,41,LAC,KC,LAC,0,-3.0,42.5,Arrowhead Stadium,Outdoor,28.0,4.0,50.0
170,11/24/2013,2013,MIA,16,20,CAR,CAR,CAR,0,-4.0,40.5,Sun Life Stadium,Outdoor,82.0,17.0,55.0
171,11/24/2013,2013,NE,34,31,DEN,DEN,NE,1,-2.5,53.0,Gillette Stadium,Outdoor,23.0,22.0,29.0
172,11/24/2013,2013,NYG,21,24,DAL,NYG,DAL,0,-2.5,44.0,MetLife Stadium,Outdoor,26.0,7.0,40.0
173,11/24/2013,2013,LVR,19,23,TEN,TEN,TEN,0,-2.0,42.0,Oakland Coliseum,Outdoor,59.0,5.0,56.0
174,11/24/2013,2013,LAR,42,21,CHI,LAR,LAR,1,-1.5,45.0,Edward Jones Dome,Indoor,72.0,0.0,
175,11/25/2013,2013,WAS,6,27,SF,SF,SF,0,-5.0,47.0,FedEx Field,Outdoor,35.0,8.0,37.0
176,11/28/2013,2013,BAL,22,20,PIT,BAL,BAL,1,-3.0,40.5,M&T Bank Stadium,Outdoor,37.0,2.0,39.0
177,11/28/2013,2013,DAL,31,24,LVR,DAL,DAL,1,-8.0,48.0,Cowboys Stadium,Outdoor,72.0,0.0,
178,11/28/2013,2013,DET,40,10,GB,DET,DET,1,-6.0,48.5,Ford Field,Indoor,72.0,0.0,
179,12/1/2013,2013,BUF,31,34,ATL,BUF,ATL,0,-4.5,48.5,Rogers Centre,Indoor,72.0,0.0,
180,12/1/2013,2013,CAR,27,6,TB,CAR,CAR,1,-6.5,40.5,Bank of America Stadium,Outdoor,57.0,5.0,55.0
181,12/1/2013,2013,CLE,28,32,JAX,CLE,JAX,0,-7.5,39.0,FirstEnergy Stadium,Outdoor,44.0,8.0,61.0
182,12/1/2013,2013,HOU,31,34,NE,NE,NE,0,-6.5,47.5,Reliant Stadium,Indoor,67.0,7.0,72.0
183,12/1/2013,2013,IND,22,14,TEN,IND,IND,1,-3.5,46.0,Lucas Oil Stadium,Indoor,72.0,0.0,
184,12/1/2013,2013,KC,28,35,DEN,DEN,DEN,0,-6.0,50.0,Arrowhead Stadium,Outdoor,55.0,4.0,47.0
185,12/1/2013,2013,MIN,23,20,CHI,MIN,MIN,1,-1.0,50.5,Mall of America Field,Indoor,72.0,0.0,
186,12/1/2013,2013,NYJ,3,23,MIA,NYJ,MIA,0,-2.0,40.5,MetLife Stadium,Outdoor,49.0,5.0,59.0
187,12/1/2013,2013,PHI,24,21,ARI,PHI,PHI,1,-3.5,48.5,Lincoln Financial Field,Outdoor,47.0,5.0,53.0
188,12/1/2013,2013,LAC,10,17,CIN,CIN,CIN,0,-1.5,48.5,Qualcomm Stadium,Outdoor,77.0,5.0,26.0
189,12/1/2013,2013,SF,23,13,LAR,SF,SF,1,-7.5,40.0,Candlestick Park,Outdoor,66.0,6.0,72.0
190,12/1/2013,2013,WAS,17,24,NYG,WAS,NYG,0,-1.0,44.5,FedEx Field,Outdoor,43.0,3.0,72.0
191,12/2/2013,2013,SEA,34,7,NO,SEA,SEA,1,-5.0,47.5,CenturyLink Field,Outdoor,42.0,6.0,62.0
192,12/5/2013,2013,JAX,27,20,HOU,HOU,JAX,1,-3.5,43.0,EverBank Field,Outdoor,72.0,7.0,73.0
193,12/8/2013,2013,ARI,30,10,LAR,ARI,ARI,1,-4.5,41.0,University of Phoenix Stadium,Indoor,72.0,0.0,
194,12/8/2013,2013,BAL,29,26,MIN,BAL,BAL,1,-6.0,41.5,M&T Bank Stadium,Outdoor,33.0,7.0,67.0
195,12/8/2013,2013,CIN,42,28,IND,CIN,CIN,1,-7.0,43.5,Paul Brown Stadium,Outdoor,28.0,7.0,85.0
196,12/8/2013,2013,DEN,51,28,TEN,DEN,DEN,1,-13.5,49.5,Sports Authority Field at Mile High,Outdoor,19.0,7.0,63.0
197,12/8/2013,2013,GB,22,21,ATL,GB,GB,1,-3.5,45.0,Lambeau Field,Outdoor,9.0,9.0,80.0
198,12/8/2013,2013,NE,27,26,CLE,NE,NE,1,-9.5,47.5,Gillette Stadium,Outdoor,31.0,5.0,46.0
