,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
11503,11/26/2015,2015,12,False,DAL,14,33,CAR,CAR,-1.0,44.5,Cowboys Stadium,False,68.0,11.0,,retractable (open roof)
11504,11/26/2015,2015,12,False,DET,45,14,PHI,DET,-3.0,47,Ford Field,False,72.0,0.0,,indoor
11505,11/26/2015,2015,12,False,GB,13,17,CHI,GB,-8.0,45,Lambeau Field,False,35.0,10.0,,rain
11506,11/29/2015,2015,12,False,ATL,10,20,MIN,ATL,-2.0,45,Georgia Dome,False,72.0,0.0,,indoor
11507,11/29/2015,2015,12,False,CIN,31,7,LAR,CIN,-9.5,42,Paul Brown Stadium,False,45.0,6.0,,
11508,11/29/2015,2015,12,False,DEN,30,24,NE,NE,-2.5,43,Sports Authority Field at Mile High,False,21.0,0.0,,snow
11509,11/29/2015,2015,12,False,HOU,24,6,NO,HOU,-3.5,51,Reliant Stadium,False,55.0,8.0,,retractable (open roof)
11510,11/29/2015,2015,12,False,IND,25,12,TB,IND,-3.0,46.5,Lucas Oil Stadium,False,72.0,0.0,,indoor
11511,11/29/2015,2015,12,False,JAX,25,31,LAC,JAX,-5.0,47,EverBank Field,False,75.0,6.0,,
11512,11/29/2015,2015,12,False,KC,30,22,BUF,KC,-4.5,41,Arrowhead Stadium,False,34.0,5.0,,rain
11513,11/29/2015,2015,12,False,NYJ,38,20,MIA,NYJ,-4.5,43.5,MetLife Stadium,False,48.0,5.0,,
11514,11/29/2015,2015,12,False,SF,13,19,ARI,ARI,-8.5,45,Levi's Stadium,False,57.0,2.0,,
11515,11/29/2015,2015,12,False,SEA,39,30,PIT,SEA,-3.0,46.5,CenturyLink Field,False,37.0,2.0,,
11516,11/29/2015,2015,12,False,TEN,21,24,LVR,LVR,-1.0,45,Nissan Stadium,False,57.0,2.0,,
11517,11/29/2015,2015,12,False,WAS,20,14,NYG,NYG,-1.5,48,FedEx Field,False,46.0,5.0,,
11518,11/30/2015,2015,12,False,CLE,27,33,BAL,CLE,-6.0,41,FirstEnergy Stadium,False,42.0,8.0,,
11519,12/3/2015,2015,13,False,DET,23,27,GB,GB,-2.5,46.5,Ford Field,False,72.0,0.0,,indoor
