,schedule_season,schedule_week,team_home,score_home,score_away,team_away,team_favorite_id,favorite_win,home_win
180,2013,13,CAR,27,6,TB,CAR,1,1
181,2013,13,CLE,28,32,JAX,CLE,0,0
182,2013,13,HOU,31,34,NE,NE,1,0
183,2013,13,IND,22,14,TEN,IND,1,1
184,2013,13,KC,28,35,DEN,DEN,1,0
185,2013,13,MIN,23,20,CHI,MIN,1,1
186,2013,13,NYJ,3,23,MIA,NYJ,0,0
187,2013,13,PHI,24,21,ARI,PHI,1,1
188,2013,13,LAC,10,17,CIN,CIN,1,0
189,2013,13,SF,23,13,LAR,SF,1,1
190,2013,13,WAS,17,24,NYG,WAS,0,0
191,2013,13,SEA,34,7,NO,SEA,1,1
192,2013,14,JAX,27,20,HOU,HOU,0,1
193,2013,14,ARI,30,10,LAR,ARI,1,1
194,2013,14,BAL,29,26,MIN,BAL,1,1
195,2013,14,CIN,42,28,IND,CIN,1,1
196,2013,14,DEN,51,28,TEN,DEN,1,1
197,2013,14,GB,22,21,ATL,GB,1,1
198,2013,14,NE,27,26,CLE,NE,1,1
199,2013,14,NO,31,13,CAR,NO,1,1
200,2013,14,NYJ,37,27,LVR,NYJ,1,1
201,2013,14,PHI,34,20,DET,PHI,1,1
202,2013,14,PIT,28,34,MIA,PIT,0,0
203,2013,14,LAC,37,14,NYG,LAC,1,1
204,2013,14,SF,19,17,SEA,SF,1,1
205,2013,14,TB,27,6,BUF,TB,1,1
206,2013,14,WAS,10,45,KC,KC,1,0
207,2013,14,CHI,45,28,DAL,CHI,1,1
208,2013,15,DEN,20,27,LAC,DEN,0,0
209,2013,15,ATL,27,26,WAS,ATL,1,1
210,2013,15,CAR,30,20,NYJ,CAR,1,1
211,2013,15,CLE,31,38,CHI,CLE,0,0
212,2013,15,DAL,36,37,GB,DAL,0,0
213,2013,15,IND,25,3,HOU,IND,1,1
214,2013,15,JAX,20,27,BUF,BUF,1,0
215,2013,15,MIA,24,20,NE,MIA,1,1
216,2013,15,MIN,48,30,PHI,PHI,0,1
217,2013,15,NYG,0,23,SEA,SEA,1,0
218,2013,15,LVR,31,56,KC,KC,1,0
219,2013,15,PIT,30,20,CIN,CIN,0,1
220,2013,15,LAR,27,16,NO,NO,0,1
221,2013,15,TB,14,33,SF,SF,1,0
222,2013,15,TEN,34,37,ARI,ARI,1,0
223,2013,15,DET,16,18,BAL,DET,0,0
224,2013,16,BAL,7,41,NE,BAL,0,0
225,2013,16,BUF,19,0,MIA,MIA,0,1
226,2013,16,CAR,17,13,NO,CAR,1,1
227,2013,16,CIN,42,14,MIN,CIN,1,1
228,2013,16,DET,20,23,NYG,DET,0,0
229,2013,16,GB,31,38,PIT,GB,0,0
230,2013,16,HOU,13,37,DEN,DEN,1,0
231,2013,16,JAX,16,20,TEN,TEN,1,0
232,2013,16,KC,7,23,IND,KC,0,0
233,2013,16,NYJ,24,13,CLE,NYJ,1,1
234,2013,16,PHI,54,11,CHI,PHI,1,1
235,2013,16,LAC,26,13,LVR,LAC,1,1
236,2013,16,SEA,10,17,ARI,SEA,0,0
237,2013,16,LAR,23,13,TB,LAR,1,1
238,2013,16,WAS,23,24,DAL,DAL,1,0
239,2013,16,SF,34,24,ATL,SF,1,1
240,2013,17,ARI,20,23,SF,ARI,0,0
241,2013,17,ATL,20,21,CAR,CAR,1,0
242,2013,17,CHI,28,33,GB,GB,1,0
243,2013,17,CIN,34,17,BAL,CIN,1,1
244,2013,17,DAL,22,24,PHI,PHI,1,0
245,2013,17,IND,30,10,JAX,IND,1,1
246,2013,17,MIA,7,20,NYJ,MIA,0,0
247,2013,17,MIN,14,13,DET,DET,0,1
248,2013,17,NE,34,20,BUF,NE,1,1
249,2013,17,NO,42,17,TB,NO,1,1
250,2013,17,NYG,20,6,WAS,NYG,1,1
251,2013,17,LVR,14,34,DEN,DEN,1,0
252,2013,17,PIT,20,7,CLE,PIT,1,1
253,2013,17,LAC,27,24,KC,LAC,1,1
254,2013,17,SEA,27,9,LAR,SEA,1,1
255,2013,17,TEN,16,10,HOU,TEN,1,1
256,2013,Wildcard,IND,45,44,KC,KC,0,1
257,2013,Wildcard,PHI,24,26,NO,PHI,0,0
258,2013,Wildcard,CIN,10,27,LAC,CIN,0,0
259,2013,Wildcard,GB,20,23,SF,SF,1,0
260,2013,Division,NE,43,22,IND,NE,1,1
261,2013,Division,SEA,23,15,NO,SEA,1,1
262,2013,Division,CAR,10,23,SF,SF,1,0
263,2013,Division,DEN,24,17,LAC,DEN,1,1
264,2013,Conference,DEN,26,16,NE,DEN,1,1
265,2013,Conference,SEA,23,17,SF,SEA,1,1
266,2013,Superbowl,DEN,8,43,SEA,DEN,0,0
267,2014,1,SEA,36,16,GB,SEA,1,1
268,2014,1,ATL,37,34,NO,NO,0,1
269,2014,1,BAL,16,23,CIN,BAL,0,0
270,2014,1,CHI,20,23,BUF,CHI,0,0
271,2014,1,DAL,17,28,SF,SF,1,0
272,2014,1,DEN,31,24,IND,DEN,1,1
273,2014,1,HOU,17,6,WAS,HOU,1,1
274,2014,1,KC,10,26,TEN,KC,0,0
275,2014,1,MIA,33,20,NE,NE,0,1
276,2014,1,NYJ,19,14,LVR,NYJ,1,1
277,2014,1,PHI,34,17,JAX,PHI,1,1
278,2014,1,PIT,30,27,CLE,PIT,1,1
279,2014,1,LAR,6,34,MIN,LAR,0,0
280,2014,1,TB,14,20,CAR,TB,0,0
281,2014,1,ARI,18,17,LAC,ARI,1,1
282,2014,1,DET,35,14,NYG,DET,1,1
283,2014,2,BAL,26,6,PIT,BAL,1,1
284,2014,2,BUF,29,10,MIA,BUF,1,1
285,2014,2,CAR,24,7,DET,CAR,1,1
286,2014,2,CIN,24,10,ATL,CIN,1,1
287,2014,2,CLE,26,24,NO,NO,0,1
288,2014,2,DEN,24,17,KC,DEN,1,1
289,2014,2,GB,31,24,NYJ,GB,1,1
290,2014,2,MIN,7,30,NE,NE,1,0
291,2014,2,NYG,14,25,ARI,NYG,0,0
292,2014,2,LVR,14,30,HOU,HOU,1,0
293,2014,2,LAC,30,21,SEA,SEA,0,1
294,2014,2,SF,20,28,CHI,SF,0,0
295,2014,2,TB,17,19,LAR,TB,0,0
296,2014,2,TEN,10,26,DAL,TEN,0,0
297,2014,2,WAS,41,10,JAX,WAS,1,1
298,2014,2,IND,27,30,PHI,IND,0,0
299,2014,3,ATL,56,14,TB,ATL,1,1
300,2014,3,ARI,23,14,SF,SF,0,1
301,2014,3,BUF,10,22,LAC,BUF,0,0
302,2014,3,CAR,19,37,PIT,CAR,0,0
303,2014,3,CIN,33,7,TEN,CIN,1,1
304,2014,3,CLE,21,23,BAL,BAL,1,0
305,2014,3,DET,19,7,GB,DET,1,1
306,2014,3,JAX,17,44,IND,IND,1,0
307,2014,3,MIA,15,34,KC,MIA,0,0
308,2014,3,NE,16,9,LVR,NE,1,1
309,2014,3,NO,20,9,MIN,NO,1,1
310,2014,3,NYG,30,17,HOU,NYG,1,1
311,2014,3,PHI,37,34,WAS,PHI,1,1
312,2014,3,SEA,26,20,DEN,SEA,1,1
313,2014,3,LAR,31,34,DAL,DAL,1,0
314,2014,3,NYJ,19,27,CHI,NYJ,0,0
315,2014,4,WAS,14,45,NYG,WAS,0,0
316,2014,4,BAL,38,10,CAR,BAL,1,1
317,2014,4,CHI,17,38,GB,GB,1,0
318,2014,4,DAL,38,17,NO,NO,0,1
319,2014,4,HOU,23,17,BUF,HOU,1,1
320,2014,4,IND,41,17,TEN,IND,1,1
321,2014,4,MIN,41,28,ATL,ATL,0,1
322,2014,4,NYJ,17,24,DET,NYJ,0,0
323,2014,4,LVR,14,38,MIA,MIA,1,0
324,2014,4,PIT,24,27,TB,PIT,0,0
325,2014,4,LAC,33,14,JAX,LAC,1,1
326,2014,4,SF,26,21,PHI,SF,1,1
327,2014,4,KC,41,14,NE,NE,0,1
328,2014,5,GB,42,10,MIN,GB,1,1
329,2014,5,CAR,31,24,CHI,CAR,1,1
330,2014,5,DAL,20,17,HOU,DAL,1,1
331,2014,5,DEN,41,20,ARI,DEN,1,1
